index,participants,hypernym,hyponym,word,words_excluded,id,full_list,clean_list,label,word_spec_map
1333,1D_8,"oggetto, entità","ford, ford c-max",automobile,,1333_1D_8,['oggetto' 'entità' 'automobile' 'ford' 'ford c-max'],['oggetto' 'entità' 'automobile' 'ford' 'ford c-max'],['B-' 'B-' 'B-' 'B-' 'B-'],
880,3B_17,"maschio, mammifero, animale, essere vivente","stallone, pony",cavallo,"maschio, pony",880_3B_17,"['maschio' 'mammifero' 'animale' 'essere vivente' 'cavallo' 'stallone'
 'pony']",['mammifero' 'animale' 'essere vivente' 'cavallo' 'stallone'],['O' 'B-' 'B-' 'B-' 'B-' 'B-' 'O'],
2260,3C_13,sentimento,,paura,,2260_3C_13,['sentimento' 'paura'],['sentimento' 'paura'],['B-' 'B-'],
1283,3B_7,"sentimento, emozione",,gioia,emozione,1283_3B_7,['sentimento' 'emozione' 'gioia'],['sentimento' 'gioia'],['B-' 'O' 'B-'],
2656,3C_20,cervello,,sogno,cervello,2656_3C_20,['cervello' 'sogno'],['sogno'],['O' 'B-'],
2767,2E_16,"mondo, terra, momento","minuto, anno",tempo,"mondo, terra, momento, anno",2767_2E_16,['mondo' 'terra' 'momento' 'tempo' 'minuto' 'anno'],['tempo' 'minuto'],['O' 'O' 'O' 'B-' 'B-' 'O'],
1675,5D_10,"persona, mammifero, entità, oggetto, cosa",cameriera,badante,"oggetto, cosa, cameriera",1675_5D_10,['persona' 'mammifero' 'entità' 'oggetto' 'cosa' 'badante' 'cameriera'],['persona' 'mammifero' 'entità' 'badante'],['B-' 'B-' 'B-' 'O' 'O' 'B-' 'O'],
597,5B_21,"lavoro, occupazione, cosa, entità",di matematica ,insegnante,cosa,597_5B_21,"['lavoro' 'occupazione' 'cosa' 'entità' 'insegnante'
 'insegnante di matematica']",['lavoro' 'occupazione' 'entità' 'insegnante' 'insegnante di matematica'],['B-' 'B-' 'O' 'B-' 'B-' 'B-'],di matematica|||insegnante di matematica___
209,1G_19,"accompagnatore, servizio","mezzo pubblico, un autobus",autista,accompagnatore,209_1G_19,['accompagnatore' 'servizio' 'autista' 'mezzo pubblico' 'un autobus'],['servizio' 'autista' 'mezzo pubblico' 'un autobus'],['O' 'B-' 'B-' 'B-' 'B-'],
2199,2E_5,emozione,sentimento,paura,sentimento,2199_2E_5,['emozione' 'paura' 'sentimento'],['emozione' 'paura'],['B-' 'B-' 'O'],
1496,1D_18,lavoro,della casa di riposo,badante,,1496_1D_18,['lavoro' 'badante' 'badante della casa di riposo'],['lavoro' 'badante' 'badante della casa di riposo'],['B-' 'B-' 'B-'],della casa di riposo|||badante della casa di riposo___
1696,3C_7,"libero arbitrio, felicità, nessuna discriminazione, no al razzismo",,libertà,"libero arbitrio, felicità, nessuna discriminazione, no al razzismo",1696_3C_7,"['libero arbitrio' 'felicità' 'nessuna discriminazione' 'no al razzismo'
 'libertà']",['libertà'],['O' 'O' 'O' 'O' 'B-'],
2971,2E_26,dolce,"cioccolato, panna, mele",torta,"panna, mele",2971_2E_26,['dolce' 'torta' 'cioccolato' 'panna' 'mele'],['dolce' 'torta' 'cioccolato'],['B-' 'B-' 'B-' 'O' 'O'],
1054,2F_22,oggetto,razzo,giocattolo,,1054_2F_22,['oggetto' 'giocattolo' 'razzo'],['oggetto' 'giocattolo' 'razzo'],['B-' 'B-' 'B-'],
1133,5B_5,"oggetto, cosa",macchinine,giocattolo,,1133_5B_5,['oggetto' 'cosa' 'giocattolo' 'macchinine'],['oggetto' 'cosa' 'giocattolo' 'macchinine'],['B-' 'B-' 'B-' 'B-'],
334,5B_3,"lavoratore, persona, essere vivente","di base, matteo, matteo reggiani",medico,,334_5B_3,"['lavoratore' 'persona' 'essere vivente' 'medico' 'medico di base'
 'matteo' 'matteo reggiani']","['lavoratore' 'persona' 'essere vivente' 'medico' 'medico di base'
 'matteo' 'matteo reggiani']",['B-' 'B-' 'B-' 'B-' 'B-' 'B-' 'B-'],di base|||medico di base___
1309,3C_8,"felicità, sentimento, pensiero","amore, famiglia, amici",gioia,"felicità, pensiero, amore, famiglia, amici",1309_3C_8,['felicità' 'sentimento' 'pensiero' 'gioia' 'amore' 'famiglia' 'amici'],['sentimento' 'gioia'],['O' 'B-' 'O' 'B-' 'O' 'O' 'O'],
2651,3C_16,"desiderio, vita",,sogno,"desiderio, vita",2651_3C_16,['desiderio' 'vita' 'sogno'],['sogno'],['O' 'O' 'B-'],
1940,1D_11,"pensare, per fare queste scale, una parte del nostro corpo",cervello,mente,"pensare, per fare queste scale, una parte del nostro corpo, cervello",1940_1D_11,"['pensare' 'pensare per fare queste scale' 'una parte del nostro corpo'
 'mente' 'cervello']",['mente'],['O' 'O' 'O' 'B-' 'O'],per fare queste scale|||pensare per fare queste scale___
854,2F_17,"animale, essere vivente",marrone,cavallo,,854_2F_17,['animale' 'essere vivente' 'cavallo' 'marrone'],['animale' 'essere vivente' 'cavallo' 'marrone'],['B-' 'B-' 'B-' 'B-'],
1490,1D_18,"personale, cosa astratta",avere un cavallo,sogno,"personale, avere un cavallo",1490_1D_18,['personale' 'cosa astratta' 'sogno' 'avere un cavallo'],['cosa astratta' 'sogno'],['O' 'B-' 'B-' 'O'],
2245,3B_23,"triste, felice, arrabbiato",,paura,"triste, felice, arrabbiato",2245_3B_23,['triste' 'felice' 'arrabbiato' 'paura'],['paura'],['O' 'O' 'O' 'B-'],
2796,2F_19,"orologio, accessorio, oggetto",vita,tempo,"orologio, accessorio, oggetto, vita",2796_2F_19,['orologio' 'accessorio' 'oggetto' 'tempo' 'vita'],['tempo'],['O' 'O' 'O' 'B-' 'O'],
75,2F_12,"sentimento, emozione",amore,affetto,emozione,75_2F_12,['sentimento' 'emozione' 'affetto' 'amore'],['sentimento' 'affetto' 'amore'],['B-' 'O' 'B-' 'B-'],
1823,2F_16,,ospedale,medico,ospedale,1823_2F_16,[' medico' 'ospedale'],[' medico'],['B-' 'O'],
815,2E_14,"lavoratore, uomo, essere umano, essere vivente, entità",ginecologo,medico,,815_2E_14,"['lavoratore' 'uomo' 'essere umano' 'essere vivente' 'entità' 'medico'
 'ginecologo']","['lavoratore' 'uomo' 'essere umano' 'essere vivente' 'entità' 'medico'
 'ginecologo']",['B-' 'B-' 'B-' 'B-' 'B-' 'B-' 'B-'],
2025,2F_12,"donna, uomo, persona, essere umano","del cuore, del cervello",medico,"uomo, del cervello",2025_2F_12,"['donna' 'uomo' 'persona' 'essere umano' 'medico' 'medico del cuore'
 'medico del cervello']",['donna' 'persona' 'essere umano' 'medico' 'medico del cuore'],['B-' 'O' 'B-' 'B-' 'B-' 'B-' 'O'],del cuore|||medico del cuore___del cervello|||medico del cervello___
1329,1D_8,"diritto, cosa astratta, non esistente",uscire dal carcere,libertà,"non esistente, uscire dal carcere",1329_1D_8,['diritto' 'cosa astratta' 'non esistente' 'libertà' 'uscire dal carcere'],['diritto' 'cosa astratta' 'libertà'],['B-' 'B-' 'O' 'B-' 'O'],
1649,5D_8,"cosa buona, entità",libertà di religione,libertà,cosa buona,1649_5D_8,['cosa buona' 'entità' 'libertà' 'libertà di religione'],['entità' 'libertà' 'libertà di religione'],['O' 'B-' 'B-' 'B-'],
178,1G_16,,di culto,libertà ,,178_1G_16,[' libertà ' ' libertà  di culto'],[' libertà ' ' libertà  di culto'],['B-' 'B-'],di culto||| libertà  di culto___
1499,3C_4,"persona, insieme di apparati, insieme di tessuti, insieme di organi, insieme di muscoli, insieme di cellule","materie, matematica, aritmentica",insegnante,"insieme di apparati, insieme di tessuti, insieme di organi, insieme di muscoli, insieme di cellule",1499_3C_4,"['persona' 'insieme di apparati' 'insieme di tessuti' 'insieme di organi'
 'insieme di muscoli' 'insieme di cellule' 'insegnante' 'materie'
 'matematica' 'aritmentica']",['persona' 'insegnante' 'materie' 'matematica' 'aritmentica'],['B-' 'O' 'O' 'O' 'O' 'O' 'B-' 'B-' 'B-' 'B-'],
662,2E_4,"oggetto per bambini, oggetto, cosa, entità","nerf, nerf elite, nerf elite 2.0, nerft elite 2.0 plus",giocattolo,,662_2E_4,"['oggetto per bambini' 'oggetto' 'cosa' 'entità' 'giocattolo' 'nerf'
 'nerf elite' 'nerf elite 2.0' 'nerft elite 2.0 plus']","['oggetto per bambini' 'oggetto' 'cosa' 'entità' 'giocattolo' 'nerf'
 'nerf elite' 'nerf elite 2.0' 'nerft elite 2.0 plus']",['B-' 'B-' 'B-' 'B-' 'B-' 'B-' 'B-' 'B-' 'B-'],
513,3C_11,"mezzo, trasporto","audi, audi r8",automobile,,513_3C_11,['mezzo' 'trasporto' 'automobile' 'audi' 'audi r8'],['mezzo' 'trasporto' 'automobile' 'audi' 'audi r8'],['B-' 'B-' 'B-' 'B-' 'B-'],
2766,2E_15,"anno, mese, settimane, giorno, ora, minuto, secondo",,tempo,"anno, mese, settimane, giorno, ora, minuto, secondo",2766_2E_15,['anno' 'mese' 'settimane' 'giorno' 'ora' 'minuto' 'secondo' 'tempo'],['tempo'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-'],
448,5B_11,"emozione, entità","panico, panico di parlare",paura,,448_5B_11,['emozione' 'entità' 'paura' 'panico' 'panico di parlare'],['emozione' 'entità' 'paura' 'panico' 'panico di parlare'],['B-' 'B-' 'B-' 'B-' 'B-'],
1518,1D_20,film ad occhi chiusi,spaventoso,sogno,film ad occhi chiusi,1518_1D_20,['film ad occhi chiusi' 'sogno' 'spaventoso'],['sogno' 'spaventoso'],['O' 'B-' 'B-'],
2048,2F_14,"sensazione, pensiero",libertà di pensiero,libertà,pensiero,2048_2F_14,['sensazione' 'pensiero' 'libertà' 'libertà di pensiero'],['sensazione' 'libertà' 'libertà di pensiero'],['B-' 'O' 'B-' 'B-'],
2850,3C_21,invenzione,"ora, minuto, secondo, millisecondo",tempo,"minuto, secondo, millisecondo",2850_3C_21,['invenzione' 'tempo' 'ora' 'minuto' 'secondo' 'millisecondo'],['invenzione' 'tempo' 'ora'],['B-' 'B-' 'B-' 'O' 'O' 'O'],
2166,2F_22,"sentimento, emozione",felicità,gioia,"emozione, felicità",2166_2F_22,['sentimento' 'emozione' 'gioia' 'felicità'],['sentimento' 'gioia'],['B-' 'O' 'B-' 'O'],
574,5D_4,"oggetto, essere non vivente, benzina, motore, velocità, si muove","camion, ferrari, lamborghini",automobile,"benzina, motore, velocità, si muove, camion, lamborghini",574_5D_4,"['oggetto' 'essere non vivente' 'benzina' 'motore' 'velocità' 'si muove'
 'automobile' 'camion' 'ferrari' 'lamborghini']",['oggetto' 'essere non vivente' 'automobile' 'ferrari'],['B-' 'B-' 'O' 'O' 'O' 'O' 'B-' 'O' 'B-' 'O'],
244,2E_14,"impiegato, cittadino, uomo","taxista, taxista uber",autista,,244_2E_14,['impiegato' 'cittadino' 'uomo' 'autista' 'taxista' 'taxista uber'],['impiegato' 'cittadino' 'uomo' 'autista' 'taxista' 'taxista uber'],['B-' 'B-' 'B-' 'B-' 'B-' 'B-'],
1575,1D_23,desiderio,,sogno,desiderio,1575_1D_23,['desiderio' 'sogno'],['sogno'],['O' 'B-'],
2263,3C_16,sentimento,,paura,,2263_3C_16,['sentimento' 'paura'],['sentimento' 'paura'],['B-' 'B-'],
2611,2F_3,"dormire, pensiero","incubo, triste",sogno,dormire,2611_2F_3,['dormire' 'pensiero' 'sogno' 'incubo' 'triste'],['pensiero' 'sogno' 'incubo' 'triste'],['O' 'B-' 'B-' 'B-' 'B-'],
1106,3C_22,"passatempo, materiale","barbie, bambola",giocattolo,"passatempo, materiale, bambola",1106_3C_22,['passatempo' 'materiale' 'giocattolo' 'barbie' 'bambola'],['giocattolo' 'barbie'],['O' 'O' 'B-' 'B-' 'O'],
1465,3B_2,persona,,insegnante,,1465_3B_2,['persona' 'insegnante'],['persona' 'insegnante'],['B-' 'B-'],
1694,3C_5,"diritto, legge, obbligo ",,libertà,"legge, obbligo",1694_3C_5,['diritto' 'legge' 'obbligo ' 'libertà'],['diritto' 'obbligo ' 'libertà'],['B-' 'O' 'B-' 'B-'],
2198,2E_4,"momento, situazione, emozione",verifica,paura,"momento, situazione, verifica",2198_2E_4,['momento' 'situazione' 'emozione' 'paura' 'verifica'],['emozione' 'paura'],['O' 'O' 'B-' 'B-' 'O'],
408,1D_8,"macchina, oggetto","ford, fiat, bmw",automobile,"macchina, fiat, bmw",408_1D_8,['macchina' 'oggetto' 'automobile' 'ford' 'fiat' 'bmw'],['oggetto' 'automobile' 'ford'],['O' 'B-' 'B-' 'B-' 'O' 'O'],
2201,2E_7,"emozione, ansia",,paura,ansia,2201_2E_7,['emozione' 'ansia' 'paura'],['emozione' 'paura'],['B-' 'O' 'B-'],
2224,2F_26,"professione, lavoro, impegno","di matematica, di italiano, di storia",insegnante,"di italiano, di storia",2224_2F_26,"['professione' 'lavoro' 'impegno' 'insegnante' 'insegnante di matematica'
 'insegnante di italiano' 'insegnante di storia']",['professione' 'lavoro' 'impegno' 'insegnante' 'insegnante di matematica'],['B-' 'B-' 'B-' 'B-' 'B-' 'O' 'O'],di matematica|||insegnante di matematica___di italiano|||insegnante di italiano___di storia|||insegnante di storia___
2825,3B_21,misura,anno,tempo,,2825_3B_21,['misura' 'tempo' 'anno'],['misura' 'tempo' 'anno'],['B-' 'B-' 'B-'],
1673,5D_10,"persona, mammifero, entità, cosa","tassista, gianni",autista,cosa,1673_5D_10,['persona' 'mammifero' 'entità' 'cosa' 'autista' 'tassista' 'gianni'],['persona' 'mammifero' 'entità' 'autista' 'tassista' 'gianni'],['B-' 'B-' 'B-' 'O' 'B-' 'B-' 'B-'],
1196,3C_12,,"di sbadigliare, di dormire, di mangiare",libertà,"di sbadigliare, di dormire, di mangiare",1196_3C_12,"[' libertà' ' libertà di sbadigliare' ' libertà di dormire'
 ' libertà di mangiare']",[' libertà'],['B-' 'O' 'O' 'O'],di sbadigliare||| libertà di sbadigliare___di dormire||| libertà di dormire___di mangiare||| libertà di mangiare___
1547,1D_21,"veicolo, mezzo di trasporto ",ferrari,automobile,,1547_1D_21,['veicolo' 'mezzo di trasporto ' 'automobile' 'ferrari'],['veicolo' 'mezzo di trasporto ' 'automobile' 'ferrari'],['B-' 'B-' 'B-' 'B-'],
1255,1D_3,"emozione, sentimento","claustrofobia, spazi chiusi",paura,"sentimento, spazi chiusi",1255_1D_3,['emozione' 'sentimento' 'paura' 'claustrofobia' 'spazi chiusi'],['emozione' 'paura' 'claustrofobia'],['B-' 'O' 'B-' 'B-' 'O'],
1055,2F_23,cosa materiale,palla,giocattolo,,1055_2F_23,['cosa materiale' 'giocattolo' 'palla'],['cosa materiale' 'giocattolo' 'palla'],['B-' 'B-' 'B-'],
2145,2F_21,"lavoro, persona, entità",auto,autista,persona,2145_2F_21,['lavoro' 'persona' 'entità' 'autista' 'auto'],['lavoro' 'entità' 'autista' 'auto'],['B-' 'O' 'B-' 'B-' 'B-'],
2353,1G_13,emozione,furia,rabbia,,2353_1G_13,['emozione' 'rabbia' 'furia'],['emozione' 'rabbia' 'furia'],['B-' 'B-' 'B-'],
435,2E_11,"oggetto, di trasporto, corsa","macchina, tesla, ferrari",automobile,"di trasporto, corsa, macchina, ferrari",435_2E_11,"['oggetto' 'oggetto di trasporto' 'corsa' 'automobile' 'macchina' 'tesla'
 'ferrari']",['oggetto' 'automobile' 'tesla'],['B-' 'O' 'O' 'B-' 'O' 'B-' 'O'],di trasporto|||oggetto di trasporto___
2408,3C_23,"sentimento, sensazione, emozione",abbracciare,affetto,"emozione, abbracciare",2408_3C_23,['sentimento' 'sensazione' 'emozione' 'affetto' 'abbracciare'],['sentimento' 'sensazione' 'affetto'],['B-' 'B-' 'O' 'B-' 'O'],
766,2E_10,moto ,porsche,automobile,moto,766_2E_10,['moto ' 'automobile' 'porsche'],['moto ' 'automobile' 'porsche'],['B-' 'B-' 'B-'],
2212,2F_17,pensiero,buio,paura,pensiero,2212_2F_17,['pensiero' 'paura' 'buio'],['paura' 'buio'],['O' 'B-' 'B-'],
1790,5D_18,"emozione, cosa astratta",,paura,,1790_5D_18,['emozione' 'cosa astratta' 'paura'],['emozione' 'cosa astratta' 'paura'],['B-' 'B-' 'B-'],
1396,1D_12,"sogno, pensiero, creato dal subconscio, parte del corpo, entità",di voto,libertà,"sogno, pensiero, creato dal subconscio, parte del corpo",1396_1D_12,"['sogno' 'pensiero' 'creato dal subconscio' 'parte del corpo' 'entità'
 'libertà' 'libertà di voto']",['entità' 'libertà' 'libertà di voto'],['O' 'O' 'O' 'O' 'B-' 'B-' 'B-'],di voto|||libertà di voto___
722,2E_8,emozione,rabbia,paura,rabbia,722_2E_8,['emozione' 'paura' 'rabbia'],['emozione' 'paura'],['B-' 'B-' 'O'],
541,5B_14,"mezzo di trasporto, taxi","macchina, volante, pulsanti",automobile,"taxi, macchina, volante, pulsanti",541_5B_14,['mezzo di trasporto' 'taxi' 'automobile' 'macchina' 'volante' 'pulsanti'],['mezzo di trasporto' 'automobile'],['B-' 'O' 'B-' 'O' 'O' 'O'],
2604,2F_20,"bello, incubo","lungo, corto, medio",sogno,"bello, incubo, corto, medio",2604_2F_20,['bello' 'incubo' 'sogno' 'lungo' 'corto' 'medio'],['sogno' 'lungo'],['O' 'O' 'B-' 'B-' 'O' 'O'],
1292,3C_15,"emozione, stato d'animo, momento, istante, secondo",felicità,gioia,"stato d'animo, momento, istante, secondo, felicità",1292_3C_15,"['emozione' ""stato d'animo"" 'momento' 'istante' 'secondo' 'gioia'
 'felicità']",['emozione' 'gioia'],['B-' 'O' 'O' 'O' 'O' 'B-' 'O'],
290,2F_9,"persona, mammifero, essere vivente","macchina, skoda",autista,,290_2F_9,['persona' 'mammifero' 'essere vivente' 'autista' 'macchina' 'skoda'],['persona' 'mammifero' 'essere vivente' 'autista' 'macchina' 'skoda'],['B-' 'B-' 'B-' 'B-' 'B-' 'B-'],
1482,1D_17,"dolce, cibo, cosa commestibile, elemento calorico, elemento, essere non vivente, entità",torta di mele,torta,"elemento calorico, elemento",1482_1D_17,"['dolce' 'cibo' 'cosa commestibile' 'elemento calorico' 'elemento'
 'essere non vivente' 'entità' 'torta' 'torta di mele']","['dolce' 'cibo' 'cosa commestibile' 'essere non vivente' 'entità' 'torta'
 'torta di mele']",['B-' 'B-' 'B-' 'O' 'O' 'B-' 'B-' 'B-' 'B-'],
2440,3C_25,distruggere,emozione negativa,rabbia,"distruggere, emozione negativa",2440_3C_25,['distruggere' 'rabbia' 'emozione negativa'],['rabbia'],['O' 'B-' 'O'],
1896,5B_12,,dottore,medico,dottore,1896_5B_12,[' medico' 'dottore'],[' medico'],['B-' 'O'],
885,3B_21,"mammifero, animale, essere vivente",selvaggio,cavallo,,885_3B_21,['mammifero' 'animale' 'essere vivente' 'cavallo' 'selvaggio'],['mammifero' 'animale' 'essere vivente' 'cavallo' 'selvaggio'],['B-' 'B-' 'B-' 'B-' 'B-'],
4,1G_2,veicolo,volkswagen,automobile,,4_1G_2,['veicolo' 'automobile' 'volkswagen'],['veicolo' 'automobile' 'volkswagen'],['B-' 'B-' 'B-'],
1175,3C_11,mezzo,"ferrari, rossa",automobile,,1175_3C_11,['mezzo' 'automobile' 'ferrari' 'rossa'],['mezzo' 'automobile' 'ferrari' 'rossa'],['B-' 'B-' 'B-' 'B-'],
939,2E_21,"lavoratore, persona, entità","di autobus, di autobus del milan",autista,,939_2E_21,"['lavoratore' 'persona' 'entità' 'autista' 'autista di autobus'
 'autista di autobus del milan']","['lavoratore' 'persona' 'entità' 'autista' 'autista di autobus'
 'autista di autobus del milan']",['B-' 'B-' 'B-' 'B-' 'B-' 'B-'],di autobus|||autista di autobus___di autobus del milan|||autista di autobus del milan___
1922,5D_17,"persona, mestiere, essere vivente",,medico,mestiere,1922_5D_17,['persona' 'mestiere' 'essere vivente' 'medico'],['persona' 'essere vivente' 'medico'],['B-' 'O' 'B-' 'B-'],
2329,3C_18,"equino, mammifero, animale, essere vivente, organismo",pony,cavallo,organismo,2329_3C_18,"['equino' 'mammifero' 'animale' 'essere vivente' 'organismo' 'cavallo'
 'pony']",['equino' 'mammifero' 'animale' 'essere vivente' 'cavallo' 'pony'],['B-' 'B-' 'B-' 'B-' 'O' 'B-' 'B-'],
1606,5D_3,"sentimento, emozione, espressione",,rabbia,emozione,1606_5D_3,['sentimento' 'emozione' 'espressione' 'rabbia'],['sentimento' 'espressione' 'rabbia'],['B-' 'O' 'B-' 'B-'],
286,2F_5,,,autista,,286_2F_5,[' autista'],[' autista'],['B-'],
1634,5D_6,entità,locale,mente,locale,1634_5D_6,['entità' 'mente' 'locale'],['entità' 'mente'],['B-' 'B-' 'O'],
753,2E_10,"lavoro, mestiere, entità",taxista,autista,mestiere,753_2E_10,['lavoro' 'mestiere' 'entità' 'autista' 'taxista'],['lavoro' 'entità' 'autista' 'taxista'],['B-' 'O' 'B-' 'B-' 'B-'],
2021,2F_12,"animale, essere vivente",cavallo nero,cavallo,,2021_2F_12,['animale' 'essere vivente' 'cavallo' 'cavallo nero'],['animale' 'essere vivente' 'cavallo' 'cavallo nero'],['B-' 'B-' 'B-' 'B-'],
2023,2F_12,"sentimento, emozione","affetto per una persona, per un essere vivente",affetto,"emozione, per un essere vivente",2023_2F_12,"['sentimento' 'emozione' 'affetto' 'affetto per una persona'
 'affetto per una persona per un essere vivente']",['sentimento' 'affetto' 'affetto per una persona'],['B-' 'O' 'B-' 'B-' 'O'],per un essere vivente|||affetto per una persona per un essere vivente___
2113,5D_14,,,mente,,2113_5D_14,[' mente'],[' mente'],['B-'],
1327,1D_8,"cosa astratta, non esistente","incubo, pensiero brutto",sogno,"non esistente, pensiero brutto",1327_1D_8,['cosa astratta' 'non esistente' 'sogno' 'incubo' 'pensiero brutto'],['cosa astratta' 'sogno' 'incubo'],['B-' 'O' 'B-' 'B-' 'O'],
2931,1G_10,"dolce, cibo, energia, forza","cioccolato, cioccolato bianco",torta,"energia, forza",2931_1G_10,['dolce' 'cibo' 'energia' 'forza' 'torta' 'cioccolato' 'cioccolato bianco'],['dolce' 'cibo' 'torta' 'cioccolato' 'cioccolato bianco'],['B-' 'B-' 'O' 'O' 'B-' 'B-' 'B-'],
2296,3C_16,persona,dell'autobus,autista,,2296_3C_16,"['persona' 'autista' ""dell'autobus""]","['persona' 'autista' ""dell'autobus""]",['B-' 'B-' 'B-'],
1046,3C_3,"emozione, sentimento, sensazione",rabbia nera,rabbia,"sentimento, rabbia nera",1046_3C_3,['emozione' 'sentimento' 'sensazione' 'rabbia' 'rabbia nera'],['emozione' 'sensazione' 'rabbia'],['B-' 'O' 'B-' 'B-' 'O'],
344,5B_4,"immaginazione, cosa, entità","incubo, mostri, huggy wuggy",sogno,cosa,344_5B_4,['immaginazione' 'cosa' 'entità' 'sogno' 'incubo' 'mostri' 'huggy wuggy'],['immaginazione' 'entità' 'sogno' 'incubo' 'mostri' 'huggy wuggy'],['B-' 'O' 'B-' 'B-' 'B-' 'B-' 'B-'],
774,1D_1,"cavallo bianco, cavallo nero, cavallo marrone, animale, essere vivente, mammifero","zoccoli, sbuffa, tira, calci",cavallo,"cavallo bianco, cavallo nero, cavallo marrone, mammifero, zoccoli, sbuffa, tira, calci",774_1D_1,"['cavallo bianco' 'cavallo nero' 'cavallo marrone' 'animale'
 'essere vivente' 'mammifero' 'cavallo' 'zoccoli' 'sbuffa' 'tira' 'calci']",['animale' 'essere vivente' 'cavallo'],['O' 'O' 'O' 'B-' 'B-' 'O' 'B-' 'O' 'O' 'O' 'O'],
2134,1D_11,"sentimento, emozione, incubi","films horror, sangue, serpenti",paura,"emozione, incubi, films horror, serpenti",2134_1D_11,"['sentimento' 'emozione' 'incubi' 'paura' 'films horror' 'sangue'
 'serpenti']",['sentimento' 'paura' 'sangue'],['B-' 'O' 'O' 'B-' 'O' 'B-' 'O'],
470,5B_12,"cibo, energia, entità",tenerina,torta,,470_5B_12,['cibo' 'energia' 'entità' 'torta' 'tenerina'],['cibo' 'energia' 'entità' 'torta' 'tenerina'],['B-' 'B-' 'B-' 'B-' 'B-'],
1857,3B_23,"polizia, nasicaprole ",,medico,"polizia, nasicaprole",1857_3B_23,['polizia' 'nasicaprole ' 'medico'],['nasicaprole ' 'medico'],['O' 'B-' 'B-'],
1492,3C_20,"lavoro, persona, essere vivente",delle medie,insegnante,"persona, essere vivente",1492_3C_20,['lavoro' 'persona' 'essere vivente' 'insegnante' 'insegnante delle medie'],['lavoro' 'insegnante' 'insegnante delle medie'],['B-' 'O' 'O' 'B-' 'B-'],delle medie|||insegnante delle medie___
2302,5D_1,emozione,aracnofobia,paura,,2302_5D_1,['emozione' 'paura' 'aracnofobia'],['emozione' 'paura' 'aracnofobia'],['B-' 'B-' 'B-'],
1699,5D_12,"lavoro, occupazione, entità","di italiano, di inglese",insegnante,di inglese,1699_5D_12,"['lavoro' 'occupazione' 'entità' 'insegnante' 'insegnante di italiano'
 'insegnante di inglese']",['lavoro' 'occupazione' 'entità' 'insegnante' 'insegnante di italiano'],['B-' 'B-' 'B-' 'B-' 'B-' 'O'],di italiano|||insegnante di italiano___di inglese|||insegnante di inglese___
1706,5D_12,"desiderio, entità",,sogno,desiderio,1706_5D_12,['desiderio' 'entità' 'sogno'],['entità' 'sogno'],['O' 'B-' 'B-'],
686,3B_17,,"persona, pelle, derma",badante,"persona, pelle, derma",686_3B_17,[' badante' 'persona' 'pelle' 'derma'],[' badante'],['B-' 'O' 'O' 'O'],
1900,5B_16,"persona, essere terrestre, essere vivente",pediatra,medico,,1900_5B_16,['persona' 'essere terrestre' 'essere vivente' 'medico' 'pediatra'],['persona' 'essere terrestre' 'essere vivente' 'medico' 'pediatra'],['B-' 'B-' 'B-' 'B-' 'B-'],
2100,2F_18,"persona, lavoro",pilota,autista,lavoro,2100_2F_18,['persona' 'lavoro' 'autista' 'pilota'],['persona' 'autista' 'pilota'],['B-' 'O' 'B-' 'B-'],
1323,1D_7,,,medico,,1323_1D_7,[' medico'],[' medico'],['B-'],
326,3C_18,"mestiere, persona",camionista,autista,persona,326_3C_18,['mestiere' 'persona' 'autista' 'camionista'],['mestiere' 'autista' 'camionista'],['B-' 'O' 'B-' 'B-'],
2692,5D_11,desiderio,immaginazione,sogno,"desiderio, immaginazione",2692_5D_11,['desiderio' 'sogno' 'immaginazione'],['sogno'],['O' 'B-' 'O'],
2057,3B_5,,,mente,,2057_3B_5,[' mente'],[' mente'],['B-'],
2980,2F_10,"dolce, cibo","gelato, cioccolato, crema",torta,crema,2980_2F_10,['dolce' 'cibo' 'torta' 'gelato' 'cioccolato' 'crema'],['dolce' 'cibo' 'torta' 'gelato' 'cioccolato'],['B-' 'B-' 'B-' 'B-' 'B-' 'O'],
345,5B_4,"misura, calcolo, numero, cosa, entità","orologio, timer",tempo,"calcolo, numero, cosa, orologio, timer",345_5B_4,['misura' 'calcolo' 'numero' 'cosa' 'entità' 'tempo' 'orologio' 'timer'],['misura' 'entità' 'tempo'],['B-' 'O' 'O' 'O' 'B-' 'B-' 'O' 'O'],
1917,2F_4,"sentimento, emozione, cosa dentro di sé, cosa astratta","rabbia repressa, rabbia repressa nei confronti di qualcuno, rabbia repressa nei confronti di un amico",rabbia,"emozione, cosa dentro di sé",1917_2F_4,"['sentimento' 'emozione' 'cosa dentro di sé' 'cosa astratta' 'rabbia'
 'rabbia repressa' 'rabbia repressa nei confronti di qualcuno'
 'rabbia repressa nei confronti di un amico']","['sentimento' 'cosa astratta' 'rabbia' 'rabbia repressa'
 'rabbia repressa nei confronti di qualcuno'
 'rabbia repressa nei confronti di un amico']",['B-' 'O' 'O' 'B-' 'B-' 'B-' 'B-' 'B-'],
2000,2E_24,organo,,mente,organo,2000_2E_24,['organo' 'mente'],['mente'],['O' 'B-'],
